city_ibge_code,IDHM,IDHM_E,IDHM_L,IDHM_R,ANO_IDH,GINI
1712009,0.675,0.573,0.798,0.673,2010,0.58
1712157,0.66,0.62,0.775,0.598,2010,0.51
1712405,0.57,0.415,0.765,0.584,2010,0.74
1712454,0.639,0.605,0.726,0.593,2010,0.49
1712504,0.631,0.504,0.792,0.63,2010,0.53
1712702,0.607,0.463,0.823,0.586,2010,0.52
1712801,0.58,0.498,0.724,0.542,2010,0.52
1713205,0.684,0.579,0.82,0.675,2010,0.54
1713304,0.662,0.571,0.804,0.633,2010,0.48
1713601,0.622,0.489,0.808,0.608,2010,0.62
1713700,0.62,0.547,0.76,0.572,2010,0.48
1713809,0.628,0.522,0.81,0.586,2010,0.51
1713957,0.596,0.524,0.745,0.543,2010,0.54
1714203,0.673,0.556,0.847,0.646,2010,0.59
1714302,0.643,0.576,0.792,0.584,2010,0.52
1714880,0.631,0.535,0.765,0.614,2010,0.52
1715002,0.661,0.628,0.791,0.582,2010,0.52
1715101,0.639,0.53,0.797,0.618,2010,0.55
1715150,0.699,0.654,0.812,0.642,2010,0.52
1715259,0.596,0.52,0.73,0.559,2010,0.45
1715507,0.675,0.614,0.798,0.627,2010,0.55
1715705,0.571,0.436,0.756,0.564,2010,0.57
1715754,0.673,0.571,0.817,0.652,2010,0.52
1716109,0.764,0.706,0.831,0.759,2010,0.62
1716208,0.595,0.461,0.777,0.588,2010,0.65
1716307,0.661,0.587,0.792,0.621,2010,0.52
1716505,0.732,0.664,0.846,0.699,2010,0.5
1716604,0.674,0.555,0.812,0.679,2010,0.62
1716653,0.627,0.518,0.806,0.589,2010,0.47
1716703,0.671,0.574,0.816,0.645,2010,0.5
1717008,0.605,0.521,0.733,0.579,2010,0.56
1717206,0.621,0.511,0.792,0.593,2010,0.52
1717503,0.65,0.527,0.822,0.633,2010,0.52
1717800,0.603,0.455,0.82,0.589,2010,0.63
1717909,0.624,0.531,0.779,0.587,2010,0.55
